Id,Item,Calories,Total Fat,Carbohydrates (G),Protein
247,Spicy Chilled Grilled Chicken Sub Sandwich,430,12,48,32
248,Ice Scoop,0,0,0,0
249,Ice Bucket,0,0,0,0
250,Catering Coffee,0,0,0,0
251,Regular 96 oz Coffee,0,0,0,0
252,8oz Chick-fil-A® Sauce,1140,103,50,2
253,8oz Polynesian Sauce,860,48,107,1
254,8oz Garden Herb Ranch Sauce,1100,117,8,4
255,8oz Honey Mustard Sauce,380,3,88,2
256,8oz Barbeque Sauce,360,0,88,2
257,Barbeque Sauce,45,0,11,0
258,Chick-fil-A® Sauce,140,13,7,0
259,Garden Herb Ranch Sauce,140,15,1,1
260,Honey Mustard Sauce,50,0,12,0
261,Polynesian Sauce,110,6,14,0
262,Sweet and Spicy Sriracha Sauce,45,0,11,0
263,Zesty Buffalo Sauce,25,2.5,1,0
264,Honey Roasted BBQ Sauce,60,5,3,0
265,Avocado Lime Ranch Dressing,310,32,3,1
266,Creamy Salsa Dressing,290,31,2,1
267,Fat Free Honey Mustard Dressing,90,0,23,0
268,Garden Herb Ranch Dressing,280,29,2,1
269,Light Balsamic Vinaigrette Dressing,80,4,10,0
270,Light Italian Dressing,25,1,3,0
271,Zesty Apple Cider Vinaigrette Dressing,230,19,16,0
272,Grilled Breakfast Filet,60,1,0,13
273,Bacon,50,3.5,0,4
274,Chick-fil-A® Breakfast Filet,160,8,8,15
275,Sausage,240,22,1,11
276,Grilled Filet,110,2,1,21
277,Spicy Filet,280,13,16,23
278,Chick-fil-A® Filet,250,12,12,24
279,Lettuce,5,0,1,0
280,Pickles,0,0,0,0
281,Tomato,5,0,1,0
282,American Cheese,50,4.5,1,3
283,Colby Jack Cheese,80,7,0,5
284,Pepper Jack Cheese,80,6,0,4
285,Chili Lime Pepitas,80,7,2,4
286,Crispy Bell Peppers,80,6,6,1
287,Harvest Nut Granola,70,2,10,1
288,Seasoned Tortilla Strips,70,4,8,1
289,Lemon Parmesan Panko,0,0,0,0
290,Saltines,25,0.5,5,0
